CustomerID,Cluster
C0001,1
C0002,1
C0003,1
C0004,1
C0005,1
C0006,1
C0007,1
C0008,1
C0009,0
C0010,0
C0011,1
C0012,1
C0013,1
C0014,0
C0015,1
C0016,1
C0017,0
C0018,1
C0019,0
C0020,1
C0021,1
C0022,1
C0023,0
C0024,1
C0025,1
C0026,1
C0027,1
C0028,1
C0029,1
C0030,1
C0031,1
C0032,1
C0033,1
C0034,1
C0035,1
C0036,1
C0037,0
C0038,1
C0039,1
C0040,1
C0041,0
C0042,1
C0043,1
C0044,0
C0045,1
C0046,1
C0047,1
C0048,1
C0049,1
C0050,1
C0051,0
C0052,1
C0053,0
C0054,1
C0055,1
C0056,1
C0057,0
C0058,1
C0059,1
C0060,0
C0061,0
C0062,0
C0063,0
C0064,0
C0065,1
C0066,0
C0067,1
C0068,1
C0069,0
C0070,0
C0071,1
C0072,1
C0073,0
C0074,0
C0075,0
C0076,1
C0077,1
C0078,1
C0079,1
C0080,1
C0081,0
C0082,1
C0083,1
C0084,1
C0085,1
C0086,0
C0087,1
C0088,1
C0089,0
C0090,1
C0091,1
C0092,1
C0093,1
C0094,1
C0095,1
C0096,1
C0097,1
C0098,1
C0099,1
C0100,0
C0101,1
C0102,1
C0103,0
C0104,1
C0105,0
C0106,1
C0107,1
C0108,1
C0109,1
C0110,1
C0111,0
C0112,1
C0113,1
C0114,0
C0115,1
C0116,1
C0117,1
C0118,1
C0119,0
C0120,1
C0121,0
C0122,1
C0123,1
C0124,0
C0125,1
C0126,1
C0127,0
C0128,1
C0129,1
C0130,1
C0131,1
C0132,0
C0133,1
C0134,1
C0135,0
C0136,1
C0137,1
C0138,1
C0139,1
C0140,1
C0141,0
C0142,1
C0143,1
C0144,1
C0145,1
C0146,1
C0147,1
C0148,1
C0149,0
C0150,1
C0151,1
C0152,1
C0153,1
C0154,1
C0155,1
C0156,1
C0157,1
C0158,1
C0159,1
C0160,1
C0161,1
C0162,1
C0163,1
C0164,0
C0165,1
C0166,0
C0167,0
C0168,1
C0169,1
C0170,0
C0171,1
C0172,0
C0173,1
C0174,1
C0175,1
C0176,1
C0177,1
C0178,1
C0179,0
C0180,1
C0181,1
C0182,0
C0183,1
C0184,1
C0185,1
C0186,1
C0187,1
C0188,1
C0189,1
C0190,1
C0191,1
C0192,1
C0193,1
C0194,1
C0195,1
C0196,0
C0197,0
C0198,0
C0199,0
C0200,1
